block_start,block_end,average_distance
1,9,0.43664013671875
2,10,0.38156787109375
3,11,0.37467626953125
4,12,0.36610595703125
5,13,0.3507294921875
6,14,0.34014404296875
7,15,0.334621826171875
8,16,0.326999267578125
9,17,0.32997998046875
10,18,0.33179150390625
11,19,0.330946533203125
12,20,0.33084765625
13,21,0.3306484375
14,22,0.32255810546875
15,23,0.319230712890625
16,24,0.30954248046875
17,25,0.294153076171875
18,26,0.28363525390625
19,27,0.277207763671875
20,28,0.271287841796875
21,29,0.267110595703125
22,30,0.268860595703125
23,31,0.2791416015625
24,32,0.34426904296875
