block_start,block_end,average_distance
1,9,0.41188623046875
2,10,0.39811279296875
3,11,0.3853798828125
4,12,0.38045849609375
5,13,0.366095703125
6,14,0.35593115234375
7,15,0.3443349609375
8,16,0.33900048828125
9,17,0.33789111328125
10,18,0.34278466796875
11,19,0.3483427734375
12,20,0.3509609375
13,21,0.3454462890625
14,22,0.33951318359375
15,23,0.33558154296875
16,24,0.3212197265625
17,25,0.3076083984375
18,26,0.28644921875
19,27,0.2778876953125
20,28,0.269232177734375
21,29,0.272465576171875
22,30,0.26694775390625
23,31,0.28219140625
24,32,0.39295751953125
