block_start,block_end,average_distance
1,9,0.41342578125
2,10,0.40097705078125
3,11,0.38814990234375
4,12,0.38429345703125
5,13,0.37086865234375
6,14,0.36149658203125
7,15,0.35059619140625
8,16,0.3467373046875
9,17,0.34582421875
10,18,0.3510419921875
11,19,0.35633056640625
12,20,0.35843310546875
13,21,0.3534169921875
14,22,0.346337890625
15,23,0.34173046875
16,24,0.32619873046875
17,25,0.3133984375
18,26,0.29439404296875
19,27,0.28678955078125
20,28,0.27920703125
21,29,0.281802490234375
22,30,0.275984130859375
23,31,0.29274365234375
24,32,0.39779052734375
