block_start,block_end,average_distance
1,9,0.410935546875
2,10,0.3936826171875
3,11,0.3802080078125
4,12,0.3723974609375
5,13,0.3600703125
6,14,0.3535859375
7,15,0.33920263671875
8,16,0.332828125
9,17,0.32417529296875
10,18,0.3263388671875
11,19,0.3238193359375
12,20,0.3299208984375
13,21,0.335111328125
14,22,0.33662451171875
15,23,0.33204931640625
16,24,0.32506689453125
17,25,0.31378759765625
18,26,0.30478369140625
19,27,0.29169775390625
20,28,0.27633056640625
21,29,0.274022216796875
22,30,0.276654296875
23,31,0.2880830078125
24,32,0.32287548828125
